10:20:15.722 [main] INFO  n.f.core.GenFastFormRelFileUtils - formBeanFullClassPath:nextone.master.bean.DM20FormBean
10:20:15.729 [main] INFO  n.f.core.GenFastFormRelFileUtils - entityBeanFullClassPath:nextone.master.bean.StudentBean
10:20:15.729 [main] INFO  n.f.core.GenFastFormRelFileUtils - searchFormBeanFullClassPath:nextone.master.bean.DM21FormBean
10:20:15.753 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
10:20:15.754 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
10:20:15.759 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
10:20:15.759 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
10:20:15.780 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
10:20:15.780 [main] INFO  n.fastform.core.GenFormBeanUtils - pgmCd is :DM20
10:20:16.239 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
10:20:16.240 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
10:20:16.240 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
10:20:16.240 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
10:20:16.244 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
10:20:16.274 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
10:20:16.274 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
10:20:16.275 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
10:20:16.275 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
10:20:16.279 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
10:20:16.301 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
10:20:16.301 [main] INFO  nextone.fastform.core.GenerateUtils - DM20FormBean上有FastForm注解
10:20:16.301 [main] INFO  nextone.fastform.core.GenerateUtils - studentBean字段:它是FormBean中的字段对应的实体类在定义时标注了@FastEntity注解
10:20:16.301 [main] INFO  nextone.fastform.core.GenerateUtils - StudentBean
10:20:16.306 [main] INFO  nextone.fastform.core.GenerateUtils - ===>getDataForFormBean读取成功
10:20:16.356 [main] INFO  nextone.fastform.core.GenerateUtils - 数据开始读取
